id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
us6000jls3,5.1,"3 km ENE of Kahramanmaras, Turkey",1675690751346,1675707609404,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jls3,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jls3.geojson,1,7.200000000000000,0.000000000000000,,reviewed,0,401,us,6000jls3,",us6000jls3,",",us,",",dyfi,origin,phase-data,",45,0.466,0.900,60.000,mb,earthquake,"M 5.1 - 3 km ENE of Kahramanmaras, Turkey"
us6000jls0,4.9,"20 km SW of G├╢ksun, Turkey",1675689461894,1675696826286,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jls0,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jls0.geojson,2,6.600000000000000,0.000000000000000,,reviewed,0,371,us,6000jls0,",us6000jls0,",",us,",",dyfi,origin,phase-data,",76,1.007,0.830,30.000,mb,earthquake,"M 4.9 - 20 km SW of G├╢ksun, Turkey"
us6000jlry,4.7,"17 km E of G├╢ksun, Turkey",1675689116766,1675700994040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlry,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlry.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,340,us,6000jlry,",us6000jlry,",",us,",",origin,phase-data,",50,0.921,0.700,69.000,mb,earthquake,"M 4.7 - 17 km E of G├╢ksun, Turkey"
us6000jlrv,5.0,"3 km NNW of Nurhak, Turkey",1675688864998,1675707251793,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrv,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrv.geojson,1,6.600000000000000,0.000000000000000,,reviewed,0,385,us,6000jlrv,",us6000jlrv,",",us,",",dyfi,origin,phase-data,",72,0.837,0.580,88.000,mb,earthquake,"M 5.0 - 3 km NNW of Nurhak, Turkey"
us6000jlrt,4.5,"18 km NE of G├╢ksun, Turkey",1675688418039,1675726305040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrt,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrt.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jlrt,",us6000jlrt,",",us,",",origin,phase-data,",24,0.975,0.970,96.000,mb,earthquake,"M 4.5 - 18 km NE of G├╢ksun, Turkey"
us6000jlrq,4.6,Central Turkey,1675688080287,1675763644040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrq,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrq.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,326,us,6000jlrq,",us6000jlrq,",",us,",",origin,phase-data,",58,0.720,0.550,53.000,mb,earthquake,M 4.6 - Central Turkey
us6000jlrp,4.3,Central Turkey,1675687680893,1675762733040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrp,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrp.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jlrp,",us6000jlrp,",",us,",",origin,phase-data,",36,0.891,0.540,61.000,mb,earthquake,M 4.3 - Central Turkey
us6000jlrk,4.7,"8 km N of ├çelikhan, Turkey",1675686996913,1675688821040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrk,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrk.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,340,us,6000jlrk,",us6000jlrk,",",us,",",origin,phase-data,",39,1.227,0.390,110.000,mb,earthquake,"M 4.7 - 8 km N of ├çelikhan, Turkey"
us6000jlrj,4.9,"9 km N of ├çelikhan, Turkey",1675686883520,1675707514081,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrj.geojson,1,5.000000000000000,0.000000000000000,,reviewed,0,370,us,6000jlrj,",us6000jlrj,",",us,",",dyfi,origin,phase-data,",38,1.247,0.790,95.000,mb,earthquake,"M 4.9 - 9 km N of ├çelikhan, Turkey"
us6000jlrh,4.4,"7 km WNW of G├╢ksun, Turkey",1675686078935,1675761915590,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrh.geojson,1,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jlrh,",us6000jlrh,",",us,",",dyfi,origin,phase-data,",37,0.920,0.460,75.000,mb,earthquake,"M 4.4 - 7 km WNW of G├╢ksun, Turkey"
us6000jlrg,4.8,"7 km SSW of Nurhak, Turkey",1675685627350,1675687932040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlrg,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlrg.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,354,us,6000jlrg,",us6000jlrg,",",us,",",origin,phase-data,",72,0.747,0.680,68.000,mb,earthquake,"M 4.8 - 7 km SSW of Nurhak, Turkey"
